FECHA_DESEMBOLSO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,MONTO_BBP_SOSTENIBLE,GRADO_BONO_SOSTENIBLE,FECHA_CORTE
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,216100.00,50000.00,240.00,7.35,281500.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,176360.00,33840.00,300.00,7.35,225600.00,15400.00,3,20230525
20220131,LIMA,LIMA,LA VICTORIA,150115,INTERBANK,BANCO,226111.30,81500.00,240.00,8.00,323000.00,15400.00,3,20230525
20220131,PIURA,PIURA,PIURA,200101,INTERBANK,BANCO,188432.00,50958.00,240.00,9.50,254790.00,15400.00,1,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,206762.30,55060.00,240.00,7.80,275300.00,15400.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,208780.40,51300.00,300.00,8.00,273000.00,15400.00,3,20230525
20220131,LIMA,LIMA,PUEBLO LIBRE,150121,INTERBANK,BANCO,219091.95,47562.00,300.00,7.35,282043.00,15400.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,200160.00,23950.00,300.00,8.00,239500.00,15400.00,3,20230525
20220111,LIMA,LIMA,CARABAYLLO,150106,CREDITO,BANCO,133598.20,17499.80,240.00,9.67,174998.00,23900.00,1,20230525
20220111,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,75440.00,25260.00,180.00,8.20,126300.00,25600.00,3,20230525
20220111,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,77040.00,25660.00,180.00,8.20,128300.00,25600.00,3,20230525
20220111,CALLAO,CALLAO,CALLAO,070101,SCOTIABANK,BANCO,154660.00,19840.00,240.00,7.80,198400.00,23900.00,3,20230525
20220111,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,110100.00,15000.00,120.00,7.50,149000.00,23900.00,3,20230525
20220113,LIMA,LIMA,COMAS,150110,BANCO PICHINCHA,BANCO,127800.00,45000.00,240.00,8.50,196700.00,23900.00,3,20230525
20220113,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,114700.00,15400.00,228.00,9.12,154000.00,23900.00,3,20230525
20220113,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,72680.00,10920.00,240.00,8.00,109200.00,25600.00,3,20230525
20220113,LAMBAYEQUE,CHICLAYO,PIMENTEL,140112,CREDITO,BANCO,140892.00,41198.00,240.00,8.20,205990.00,23900.00,3,20230525
20220113,LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106,BANCO PICHINCHA,BANCO,112000.00,15100.00,180.00,9.70,151000.00,23900.00,1,20230525
20220113,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,148107.40,23000.00,240.00,7.00,195000.00,23900.00,3,20230525
